"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"15/12 13","Rush3D (16)","E-Frag (9)","inferno","SLTV ProSeries VIII","16153","4610","4731","1275","16","9"
"14/12 13","E-Frag (12)","MayaM (16)","inferno","SLTV ProSeries VIII","16152","4731","5056","1275","12","16"
"14/12 13","MayaM (16)","E-Frag (12)","nuke","SLTV ProSeries VIII","16151","5056","4731","1275","16","12"
"14/12 13","Rush3D (7)","MYM (16)","nuke","SLTV ProSeries VIII","16139","4610","5211","1275","7","16"
"14/12 13","MYM (16)","Rush3D (2)","inferno","SLTV ProSeries VIII","16138","5211","4610","1275","16","2"
"14/12 13","n!faculty (19)","über G33KZ (17)","nuke","Gaming.dk SteelSeries Championship Invite Finals 2013","16149","4983","5271","1276","19","17"
"14/12 13","n!faculty (16)","über G33KZ (5)","inferno","Gaming.dk SteelSeries Championship Invite Finals 2013","16148","4983","5271","1276","16","5"
"14/12 13","über G33KZ (16)","n!faculty (14)","dust2","Gaming.dk SteelSeries Championship Invite Finals 2013","16147","5271","4983","1276","16","14"
"14/12 13","NiP (16)","LGB (13)","dust2","Svecup Grand Finals 2013","16146","4411","5028","1277","16","13"
"14/12 13","NiP (19)","LGB (17)","mirage","Svecup Grand Finals 2013","16144","4411","5028","1277","19","17"
"14/12 13","NiP (14)","LGB (16)","inferno","Svecup Grand Finals 2013","16143","4411","5028","1277","14","16"
"14/12 13","AliGon (6)","SK (16)","train","Svecup Grand Finals 2013","16142","4894","5152","1277","6","16"
"14/12 13","SK (16)","AliGon (9)","nuke","Svecup Grand Finals 2013","16141","5152","4894","1277","16","9"
"14/12 13","AliGon (16)","SK (14)","inferno","Svecup Grand Finals 2013","16140","4894","5152","1277","16","14"
"14/12 13","mousesports (16)","EnRo GRIFFINS (7)","season","ESL Pro Series Germany Winter Season 2013","16134","4494","4686","1271","16","7"
"14/12 13","EnRo GRIFFINS (12)","mousesports (16)","cache","ESL Pro Series Germany Winter Season 2013","16133","4686","4494","1271","12","16"
"14/12 13","highgrade (6)","MayaM (16)","train","SLTV ProSeries VIII","16137","5030","5056","1275","6","16"
"14/12 13","highgrade (16)","MayaM (13)","nuke","SLTV ProSeries VIII","16136","5030","5056","1275","16","13"
"14/12 13","highgrade (3)","MayaM (16)","dust2","SLTV ProSeries VIII","16135","5030","5056","1275","3","16"
"14/12 13","Rush3D (16)","Divine (8)","inferno","SLTV ProSeries VIII","16132","4610","5018","1275","16","8"
"14/12 13","Rush3D (16)","Divine (12)","dust2","SLTV ProSeries VIII","16131","4610","5018","1275","16","12"
"14/12 13","Reason (10)","n!faculty (16)","dust2","Gaming.dk SteelSeries Championship Invite Finals 2013","16130","5208","4983","1276","10","16"
